year,male,female
65,218659,205416
66,202933,190700
67,213155,198482
68,218163,203557
69,212399,199494
70,214321,200187
71,207663,194242
72,196712,184317
73,190976,177836
74,177006,165953
75,158554,147774
76,162935,150347
77,177856,164371
78,162952,150032
79,176378,159928
80,168145,152239
81,168306,153099
82,169360,156634
83,168764,155004
84,169482,157065
85,168961,155356
86,169422,155558
87,140063,128818
88,148456,135617
89,160529,146671
90,134310,123556
91,129141,117617
92,119218,108229
93,114239,103141
94,107972,98951
95,107214,97812
96,106422,96953
97,102700,93673
98,100155,92310
99,86885,79745
100,102947,95439
101,121462,113113
102,101295,93955
103,109411,102323
104,111138,102575
